Transaction Amount,Quantity,Customer Age,Is Fraudulent,Account Age Days,Transaction Hour,Txn_Month,Txn_DayOfWeek,Txn_IsWeekend,Txn_DayOfMonth,Amount_Per_Qty,Addr_Match,User_Txn_Count,User_Avg_Amount,User_Avg_Age,Amt_UserRatio,Location_Freq,Payment Method_bank transfer,Payment Method_credit card,Payment Method_debit card,Product Category_electronics,Product Category_health & beauty,Product Category_home & garden,Product Category_toys & games,Device Used_mobile,Device Used_tablet
149.24,2,25.0,0,103,20,1,2,0,24,74.62,1,1,149.24,25.0,1.0,0.0,0,0,0,0,0,1,0,0,1
630.67,1,37.0,0,26,9,3,5,1,16,630.67,1,1,630.67,37.0,1.0,0.0002,0,0,1,0,0,1,0,1,0
277.73,2,14.0,0,170,2,1,3,0,4,138.86,1,1,277.73,14.0,1.0,0.0,0,0,0,0,0,0,0,0,1
428.88,3,28.0,0,47,16,2,6,1,4,142.96,1,1,428.88,28.0,1.0,0.0,0,1,0,0,0,1,0,0,1
77.27,4,45.0,0,61,4,4,6,1,7,19.32,1,1,77.27,45.0,1.0,0.0,0,0,0,0,0,0,0,0,1
13.91,2,44.0,0,326,3,4,5,1,6,6.96,1,1,13.91,44.0,1.0,0.0,0,0,1,0,0,1,0,0,0
222.0,1,51.0,1,194,4,3,0,0,25,222.0,1,1,222.0,51.0,1.0,0.0,1,0,0,0,0,1,0,0,1
69.19,2,32.0,0,282,16,2,4,0,2,34.6,1,1,69.19,32.0,1.0,0.0001,0,0,0,0,0,0,1,0,1
395.73,1,44.0,0,69,6,1,2,0,31,395.73,1,1,395.73,44.0,1.0,0.0,0,1,0,0,0,0,0,0,0
182.1,3,46.0,0,70,3,3,2,0,27,60.7,1,1,182.1,46.0,1.0,0.0001,0,0,0,0,0,1,0,1,0
194.5,2,28.0,0,173,14,1,4,0,12,97.25,0,1,194.5,28.0,1.0,0.0003,0,1,0,0,0,0,0,0,1
636.71375,5,33.0,0,108,16,3,1,0,26,127.34,1,1,636.71,33.0,1.0,0.0003,0,0,0,0,0,1,0,1,0
52.34,1,34.0,0,224,15,3,5,1,30,52.34,1,1,52.34,34.0,1.0,0.0,0,0,0,1,0,0,0,0,0
636.71375,1,17.0,0,280,20,3,5,1,30,636.71,1,1,636.71,17.0,1.0,0.0002,0,0,0,0,0,0,0,0,1
23.01,4,37.0,0,326,18,1,1,0,9,5.75,1,1,23.01,37.0,1.0,0.0001,1,0,0,0,0,0,1,0,1
32.75,5,60.0,0,214,11,3,3,0,7,6.55,1,1,32.75,60.0,1.0,0.0,0,0,0,0,0,0,1,0,0
276.34,4,33.0,0,234,18,2,5,1,10,69.08,1,1,276.34,33.0,1.0,0.0,0,1,0,0,0,1,0,0,0
231.5,5,22.0,0,221,20,2,6,1,18,46.3,0,1,231.5,22.0,1.0,0.0004,0,0,0,0,0,1,0,1,0
149.6,5,23.0,0,85,23,2,5,1,10,29.92,1,1,149.6,23.0,1.0,0.0002,1,0,0,0,0,0,0,0,1
54.74,2,37.0,0,126,13,3,5,1,2,27.37,1,1,54.74,37.0,1.0,0.0,0,1,0,0,1,0,0,0,1
15.7,4,30.0,0,261,22,4,1,0,2,3.92,1,1,15.7,30.0,1.0,0.0003,0,1,0,0,1,0,0,1,0
438.35,1,26.0,0,358,2,3,2,0,27,438.35,1,1,438.35,26.0,1.0,0.0003,0,0,0,0,0,1,0,1,0
14.63,2,35.0,0,249,21,1,0,0,8,7.32,1,1,14.63,35.0,1.0,0.0002,0,1,0,0,0,0,1,1,0
327.33,4,37.0,0,259,0,1,6,1,21,81.83,1,1,327.33,37.0,1.0,0.0,1,0,0,0,0,1,0,0,1
28.34,1,44.0,0,71,18,2,2,0,28,28.34,1,1,28.34,44.0,1.0,0.0002,0,1,0,0,0,0,1,1,0
543.58,5,31.0,0,191,15,2,0,0,5,108.72,0,1,543.58,31.0,1.0,0.0,1,0,0,1,0,0,0,0,1
132.65,1,26.0,0,305,8,3,1,0,5,132.65,1,1,132.65,26.0,1.0,0.0003,0,0,1,0,0,0,1,0,0
83.62,1,30.0,0,204,15,2,3,0,8,83.62,1,1,83.62,30.0,1.0,0.0,0,0,1,0,0,1,0,1,0
18.89,1,31.0,0,136,10,3,1,0,5,18.89,1,1,18.89,31.0,1.0,0.0001,0,0,1,0,0,0,1,0,1
387.23,1,48.0,0,233,18,3,4,0,29,387.23,1,1,387.23,48.0,1.0,0.0001,0,0,1,1,0,0,0,0,0
591.77,4,27.0,0,126,17,3,2,0,6,147.94,1,1,591.77,27.0,1.0,0.0,0,0,1,0,1,0,0,0,0
13.56,4,20.0,0,165,11,4,0,0,1,3.39,1,1,13.56,20.0,1.0,0.0001,0,0,0,0,1,0,0,0,1
47.9,1,43.0,0,85,3,2,1,0,6,47.9,1,1,47.9,43.0,1.0,0.0,0,0,0,0,0,1,0,0,0
249.49,3,38.0,0,285,14,4,1,0,2,83.16,1,1,249.49,38.0,1.0,0.0,0,1,0,1,0,0,0,1,0
276.29,3,32.0,0,140,4,2,1,0,27,92.1,1,1,276.29,32.0,1.0,0.0,0,1,0,0,0,1,0,0,0
636.71375,5,24.0,0,179,21,1,3,0,18,127.34,1,1,636.71,24.0,1.0,0.0,0,1,0,1,0,0,0,0,1
416.46,1,41.0,0,234,22,1,4,0,12,416.46,1,1,416.46,41.0,1.0,0.0,0,1,0,0,0,0,0,1,0
126.99,1,34.0,0,175,21,3,5,1,16,126.99,0,1,126.99,34.0,1.0,0.0001,1,0,0,0,0,0,0,1,0
58.34,2,47.0,0,224,11,1,0,0,15,29.17,1,1,58.34,47.0,1.0,0.0002,0,0,0,1,0,0,0,1,0
40.56,2,32.0,0,232,4,3,1,0,19,20.28,1,1,40.56,32.0,1.0,0.0003,0,0,1,1,0,0,0,0,1
50.27,3,39.0,0,44,1,2,5,1,17,16.76,1,1,50.27,39.0,1.0,0.0001,1,0,0,0,1,0,0,0,1
98.96,2,47.0,0,195,20,3,0,0,11,49.48,1,1,98.96,47.0,1.0,0.0,0,0,0,1,0,0,0,0,1
85.46,3,17.0,0,65,2,2,2,0,21,28.49,1,1,85.46,17.0,1.0,0.0006,0,0,1,0,0,0,1,1,0
270.37,2,25.0,0,345,7,2,4,0,9,135.18,1,1,270.37,25.0,1.0,0.0004,1,0,0,0,1,0,0,0,1
39.58,4,41.0,0,151,3,3,1,0,12,9.9,1,1,39.58,41.0,1.0,0.0003,0,0,1,1,0,0,0,0,0
86.6,5,20.0,0,47,5,3,6,1,10,17.32,1,1,86.6,20.0,1.0,0.0001,1,0,0,0,0,1,0,0,0
153.8,2,31.0,0,124,12,1,2,0,10,76.9,1,1,153.8,31.0,1.0,0.0,0,0,1,0,0,1,0,1,0
25.72,5,40.0,0,228,6,1,1,0,16,5.14,1,1,25.72,40.0,1.0,0.0001,0,1,0,0,0,0,0,0,0
12.95,3,32.0,0,196,9,1,3,0,25,4.32,1,1,12.95,32.0,1.0,0.0001,0,1,0,0,1,0,0,0,0
633.19,3,20.0,0,197,2,2,4,0,23,211.06,1,1,633.19,20.0,1.0,0.0002,1,0,0,1,0,0,0,0,0
636.71375,4,36.0,0,179,1,3,3,0,21,159.18,0,1,636.71,36.0,1.0,0.0002,1,0,0,1,0,0,0,0,1
93.52,1,31.0,0,328,12,2,1,0,6,93.52,1,1,93.52,31.0,1.0,0.0,0,1,0,1,0,0,0,0,0
218.66,3,45.0,0,96,18,4,4,0,5,72.89,1,1,218.66,45.0,1.0,0.0002,0,1,0,0,0,0,1,0,0
636.71375,3,26.0,0,336,10,1,2,0,31,212.24,1,1,636.71,26.0,1.0,0.0002,0,0,1,0,0,0,0,0,0
120.59,1,44.0,0,68,0,2,6,1,4,120.59,1,1,120.59,44.0,1.0,0.0002,0,1,0,0,1,0,0,1,0
224.9,2,36.0,0,199,13,3,6,1,24,112.45,1,1,224.9,36.0,1.0,0.0001,1,0,0,0,1,0,0,0,0
159.0,3,28.0,0,148,22,3,6,1,3,53.0,1,1,159.0,28.0,1.0,0.0004,0,0,1,0,0,1,0,0,0
636.71375,3,43.0,0,340,2,1,3,0,18,212.24,1,1,636.71,43.0,1.0,0.0003,1,0,0,0,1,0,0,0,0
511.49,4,46.0,0,52,4,3,5,1,16,127.87,0,1,511.49,46.0,1.0,0.0,0,0,0,0,0,0,0,0,0
11.97,5,43.0,0,280,6,2,2,0,7,2.39,1,1,11.97,43.0,1.0,0.0001,1,0,0,0,1,0,0,1,0
241.73,4,45.0,0,4,18,3,5,1,2,60.43,1,1,241.73,45.0,1.0,0.0006,0,1,0,0,1,0,0,0,1
45.76,3,43.0,0,92,2,3,5,1,16,15.25,1,1,45.76,43.0,1.0,0.0,0,0,0,0,1,0,0,1,0
86.88,1,31.0,0,298,16,4,2,0,3,86.88,1,1,86.88,31.0,1.0,0.0003,0,0,0,0,0,1,0,0,0
25.33,2,25.0,0,297,13,2,1,0,13,12.66,0,1,25.33,25.0,1.0,0.0002,0,0,0,0,0,0,1,1,0
183.64,2,41.0,0,79,11,1,0,0,22,91.82,1,1,183.64,41.0,1.0,0.0001,0,1,0,0,0,0,0,0,1
38.71,1,44.0,0,229,18,3,4,0,15,38.71,1,1,38.71,44.0,1.0,0.0,0,1,0,0,1,0,0,1,0
95.39,4,37.0,0,315,21,1,3,0,4,23.85,1,1,95.39,37.0,1.0,0.0002,0,0,0,0,0,0,0,0,0
15.33,5,17.0,0,14,1,3,3,0,28,3.07,1,1,15.33,17.0,1.0,0.0001,1,0,0,0,0,1,0,0,0
196.86,5,50.0,0,94,13,4,1,0,2,39.37,1,1,196.86,50.0,1.0,0.0,0,0,0,0,0,1,0,0,1
227.67,3,45.0,0,31,5,1,3,0,18,75.89,0,1,227.67,45.0,1.0,0.0002,0,0,0,0,1,0,0,0,0
387.35,3,41.0,0,30,9,1,5,1,27,129.12,1,1,387.35,41.0,1.0,0.0,0,0,0,0,0,1,0,1,0
236.13,5,15.0,0,255,7,2,4,0,23,47.23,1,1,236.13,15.0,1.0,0.0,0,0,0,0,0,0,1,0,1
189.69,2,28.0,0,304,16,2,2,0,7,94.84,1,1,189.69,28.0,1.0,0.0001,0,0,0,0,0,1,0,0,0
201.11,4,37.0,0,34,6,2,2,0,28,50.28,1,1,201.11,37.0,1.0,0.0001,0,0,0,0,0,1,0,0,0
34.73,1,29.0,0,100,15,2,2,0,14,34.73,1,1,34.73,29.0,1.0,0.0,0,1,0,0,0,0,1,0,0
241.31,1,47.0,0,3,12,1,6,1,14,241.31,1,1,241.31,47.0,1.0,0.0,0,0,1,0,0,0,0,0,0
41.63,2,44.0,0,238,9,1,6,1,14,20.82,1,1,41.63,44.0,1.0,0.0,0,1,0,0,0,1,0,0,0
106.34,2,24.0,0,38,16,3,3,0,21,53.17,1,1,106.34,24.0,1.0,0.0001,0,0,1,1,0,0,0,1,0
260.59,1,42.0,0,306,2,3,4,0,22,260.59,1,1,260.59,42.0,1.0,0.0001,0,1,0,0,0,0,0,0,0
118.37,4,31.0,0,58,7,2,2,0,21,29.59,1,1,118.37,31.0,1.0,0.0,0,1,0,0,0,0,0,1,0
29.81,1,23.0,0,261,13,3,4,0,29,29.81,1,1,29.81,23.0,1.0,0.0003,0,1,0,0,0,0,0,0,1
133.73,3,41.0,0,126,6,4,4,0,5,44.58,1,1,133.73,41.0,1.0,0.0001,1,0,0,0,0,1,0,0,1
406.36,4,36.0,0,20,7,3,4,0,8,101.59,1,1,406.36,36.0,1.0,0.0002,0,1,0,0,0,0,1,1,0
369.52,4,49.0,0,307,16,3,6,1,3,92.38,1,1,369.52,49.0,1.0,0.0001,0,1,0,0,0,1,0,1,0
319.71,1,42.0,0,91,9,3,4,0,1,319.71,1,1,319.71,42.0,1.0,0.0001,1,0,0,0,0,1,0,1,0
307.37,2,32.0,1,166,19,1,5,1,20,153.68,1,1,307.37,32.0,1.0,0.0,1,0,0,0,0,1,0,0,0
62.27,1,25.0,0,159,3,1,0,0,8,62.27,1,1,62.27,25.0,1.0,0.0,0,0,0,0,1,0,0,1,0
150.43,4,39.0,0,43,17,3,0,0,25,37.61,1,1,150.43,39.0,1.0,0.0002,0,1,0,0,0,1,0,0,0
30.32,2,45.0,0,339,8,1,2,0,24,15.16,1,1,30.32,45.0,1.0,0.0001,1,0,0,0,0,0,1,1,0
85.85,1,47.0,0,356,3,4,6,1,7,85.85,1,1,85.85,47.0,1.0,0.0,0,0,0,1,0,0,0,0,1
139.6,5,45.0,0,300,6,3,1,0,12,27.92,1,1,139.6,45.0,1.0,0.0001,0,0,1,1,0,0,0,1,0
148.16,5,25.0,0,99,15,1,4,0,12,29.63,1,1,148.16,25.0,1.0,0.0001,0,0,0,0,1,0,0,0,1
636.71375,1,29.0,0,152,12,2,5,1,3,636.71,1,1,636.71,29.0,1.0,0.0001,1,0,0,0,0,0,0,0,1
348.88,3,39.0,0,143,14,3,4,0,1,116.29,1,1,348.88,39.0,1.0,0.0003,1,0,0,0,0,1,0,1,0
213.2,2,27.0,0,218,17,4,0,0,1,106.6,1,1,213.2,27.0,1.0,0.0,0,0,1,0,1,0,0,1,0
190.99,2,34.0,0,136,5,3,0,0,25,95.5,1,1,190.99,34.0,1.0,0.0002,0,0,1,0,1,0,0,0,1
472.03,2,23.0,0,73,3,3,0,0,4,236.02,1,1,472.03,23.0,1.0,0.0002,0,0,0,0,0,0,1,0,0
41.27,4,40.0,0,204,17,1,0,0,22,10.32,1,1,41.27,40.0,1.0,0.0,0,0,1,0,0,1,0,0,0
144.69,2,38.0,0,34,11,1,6,1,14,72.34,1,1,144.69,38.0,1.0,0.0,0,0,1,0,0,1,0,1,0
214.82,4,38.0,0,365,0,2,2,0,21,53.7,1,1,214.82,38.0,1.0,0.0002,0,0,1,0,0,0,0,1,0
23.73,5,42.0,0,192,22,3,6,1,3,4.75,1,1,23.73,42.0,1.0,0.0,1,0,0,0,0,0,0,0,1
186.01,1,39.0,0,273,8,1,4,0,19,186.01,1,1,186.01,39.0,1.0,0.0002,0,0,0,0,1,0,0,0,0
46.47,4,34.0,0,222,0,3,2,0,13,11.62,1,1,46.47,34.0,1.0,0.0,0,0,0,0,0,0,0,0,0
36.8,1,49.0,0,271,6,2,1,0,20,36.8,1,1,36.8,49.0,1.0,0.0003,0,0,0,0,1,0,0,0,1
92.87,2,16.0,0,223,11,3,0,0,11,46.44,1,1,92.87,16.0,1.0,0.0003,0,1,0,0,0,0,0,0,1
42.42,2,20.0,0,151,20,2,1,0,6,21.21,1,1,42.42,20.0,1.0,0.0001,0,0,0,0,1,0,0,0,1
27.84,2,61.0,0,94,17,4,2,0,3,13.92,1,1,27.84,61.0,1.0,0.0003,0,0,1,0,0,1,0,0,1
101.76,4,26.0,0,297,0,1,4,0,26,25.44,1,1,101.76,26.0,1.0,0.0004,0,1,0,1,0,0,0,1,0
181.74,1,38.0,0,311,19,3,6,1,24,181.74,1,1,181.74,38.0,1.0,0.0,0,0,1,1,0,0,0,1,0
60.8,4,47.0,0,350,2,2,3,0,1,15.2,1,1,60.8,47.0,1.0,0.0001,0,0,0,0,1,0,0,0,1
206.49,2,39.0,0,61,14,4,1,0,2,103.24,1,1,206.49,39.0,1.0,0.0,0,0,0,0,0,0,0,0,1
21.81,4,20.0,0,54,10,3,3,0,21,5.45,1,1,21.81,20.0,1.0,0.0,0,0,0,0,0,0,0,0,0
76.52,1,39.0,0,336,9,3,1,0,19,76.52,1,1,76.52,39.0,1.0,0.0,0,0,1,0,0,0,0,1,0
77.5,1,31.0,0,172,0,1,4,0,12,77.5,1,1,77.5,31.0,1.0,0.0,0,0,0,0,0,0,1,0,1
518.6,3,39.0,0,162,21,1,1,0,23,172.87,1,1,518.6,39.0,1.0,0.0001,0,1,0,0,0,1,0,1,0
45.7,5,44.0,0,64,3,3,0,0,4,9.14,0,1,45.7,44.0,1.0,0.0004,0,1,0,0,0,0,1,0,0
121.61,1,46.0,0,218,21,4,5,1,6,121.61,1,1,121.61,46.0,1.0,0.0,1,0,0,0,0,0,0,1,0
168.05,2,22.0,0,180,12,3,0,0,11,84.02,1,1,168.05,22.0,1.0,0.0,0,0,0,0,0,0,0,0,0
437.31,3,50.0,0,177,0,3,1,0,5,145.77,1,1,437.31,50.0,1.0,0.0001,0,0,1,0,0,0,1,1,0
280.08,4,33.0,0,107,14,2,6,1,4,70.02,0,1,280.08,33.0,1.0,0.0,1,0,0,0,0,0,1,1,0
190.88,2,46.0,0,288,6,4,4,0,5,95.44,1,1,190.88,46.0,1.0,0.0,1,0,0,0,0,0,1,0,0
40.04,4,29.0,0,322,11,2,1,0,27,10.01,0,1,40.04,29.0,1.0,0.0008,0,1,0,0,1,0,0,0,1
636.71375,5,40.0,0,160,19,2,0,0,26,127.34,1,1,636.71,40.0,1.0,0.0,0,0,0,1,0,0,0,0,0
105.43,4,49.0,0,156,10,1,0,0,15,26.36,1,1,105.43,49.0,1.0,0.0002,0,0,0,0,1,0,0,1,0
234.5,2,24.0,0,113,4,2,4,0,9,117.25,0,1,234.5,24.0,1.0,0.0001,1,0,0,0,0,0,0,1,0
314.19,2,18.0,0,302,0,1,0,0,8,157.1,1,1,314.19,18.0,1.0,0.0,0,1,0,0,0,0,0,0,0
43.41,1,22.0,0,40,14,3,2,0,6,43.41,1,1,43.41,22.0,1.0,0.0,0,1,0,1,0,0,0,1,0
64.81,2,34.0,0,245,6,1,6,1,7,32.4,1,1,64.81,34.0,1.0,0.0,0,0,1,0,0,1,0,1,0
136.02,3,21.0,0,1,16,2,2,0,28,45.34,0,1,136.02,21.0,1.0,0.0,0,0,1,0,1,0,0,0,0
396.25,3,34.0,0,268,22,3,1,0,5,132.08,0,1,396.25,34.0,1.0,0.0001,0,1,0,0,0,0,1,0,1
636.71375,1,18.0,0,354,11,3,3,0,28,636.71,1,1,636.71,18.0,1.0,0.0,0,0,1,0,0,0,1,0,1
130.68,5,26.0,0,298,0,3,2,0,13,26.14,1,1,130.68,26.0,1.0,0.0,0,0,0,0,0,0,1,1,0
165.89,5,45.0,0,100,10,2,3,0,15,33.18,1,1,165.89,45.0,1.0,0.0,1,0,0,0,1,0,0,1,0
63.61,4,31.0,0,195,16,2,2,0,7,15.9,0,1,63.61,31.0,1.0,0.0002,0,0,1,0,0,0,1,0,1
123.24,2,27.0,0,40,1,3,1,0,5,61.62,1,1,123.24,27.0,1.0,0.0001,0,0,0,0,0,1,0,0,0
187.15,5,42.0,0,41,1,3,1,0,5,37.43,1,1,187.15,42.0,1.0,0.0001,0,1,0,0,0,1,0,0,1
60.22,5,30.0,0,68,9,1,2,0,31,12.04,1,1,60.22,30.0,1.0,0.0001,0,1,0,1,0,0,0,0,0
34.65,5,25.0,0,2,2,1,1,0,2,6.93,1,1,34.65,25.0,1.0,0.0,0,0,1,0,0,0,1,0,0
86.54,5,41.0,0,32,9,3,6,1,3,17.31,1,1,86.54,41.0,1.0,0.0001,0,0,1,0,0,1,0,0,1
94.23,4,26.0,1,27,14,3,0,0,11,23.56,1,1,94.23,26.0,1.0,0.0003,1,0,0,0,1,0,0,0,1
123.18,4,36.0,0,127,4,2,6,1,11,30.8,1,1,123.18,36.0,1.0,0.0,0,1,0,1,0,0,0,0,0
231.27,3,36.0,0,176,16,4,0,0,1,77.09,1,1,231.27,36.0,1.0,0.0001,0,1,0,0,0,0,1,0,1
198.64,5,32.0,0,262,5,3,0,0,4,39.73,1,1,198.64,32.0,1.0,0.0,0,0,1,0,1,0,0,0,1
50.15,5,28.0,0,313,3,3,0,0,25,10.03,1,1,50.15,28.0,1.0,0.0001,1,0,0,0,0,0,0,0,0
372.97,5,33.0,0,320,4,2,5,1,24,74.59,1,1,372.97,33.0,1.0,0.0003,0,0,1,1,0,0,0,0,0
511.29,5,58.0,0,327,17,2,6,1,18,102.26,0,1,511.29,58.0,1.0,0.0,0,0,0,0,0,0,0,0,1
268.44,3,31.0,0,145,9,2,6,1,4,89.48,1,1,268.44,31.0,1.0,0.0002,0,0,0,1,0,0,0,0,0
250.38,2,32.0,0,8,20,2,2,0,28,125.19,1,1,250.38,32.0,1.0,0.0,0,1,0,0,0,0,1,0,0
127.8,5,39.0,0,104,14,4,0,0,1,25.56,1,1,127.8,39.0,1.0,0.0001,1,0,0,0,0,0,1,1,0
104.08,1,32.0,0,137,19,3,6,1,3,104.08,1,1,104.08,32.0,1.0,0.0,1,0,0,0,0,0,0,0,0
55.69,2,33.0,0,118,18,3,4,0,29,27.84,1,1,55.69,33.0,1.0,0.0003,0,0,1,0,0,1,0,1,0
636.71375,2,41.0,0,337,1,3,4,0,22,318.36,1,1,636.71,41.0,1.0,0.0003,0,0,0,0,0,0,1,0,1
113.17,1,18.0,0,188,21,3,4,0,29,113.17,0,1,113.17,18.0,1.0,0.0,0,0,1,0,0,1,0,1,0
71.01,5,38.0,0,223,10,2,4,0,2,14.2,1,1,71.01,38.0,1.0,0.0003,0,0,0,0,0,0,0,0,0
196.82,4,51.0,0,232,17,3,5,1,23,49.2,0,1,196.82,51.0,1.0,0.0001,0,0,0,0,0,0,1,1,0
190.96,2,13.0,0,281,12,1,0,0,15,95.48,1,1,190.96,13.0,1.0,0.0002,0,0,1,1,0,0,0,0,0
10.6,4,43.0,0,155,17,3,1,0,5,2.65,1,1,10.6,43.0,1.0,0.0009,0,1,0,0,1,0,0,1,0
335.91,3,30.0,0,283,14,2,2,0,7,111.97,1,1,335.91,30.0,1.0,0.0001,0,0,0,0,0,0,0,1,0
272.91,3,39.0,0,19,2,3,5,1,23,90.97,1,1,272.91,39.0,1.0,0.0002,0,1,0,0,0,0,1,1,0
40.56,5,42.0,0,290,18,2,4,0,23,8.11,1,1,40.56,42.0,1.0,0.0,0,1,0,0,1,0,0,0,0
34.4,2,41.0,0,313,7,3,0,0,4,17.2,1,1,34.4,41.0,1.0,0.0002,0,1,0,1,0,0,0,1,0
22.72,1,28.0,0,266,10,4,0,0,1,22.72,1,1,22.72,28.0,1.0,0.0002,0,1,0,0,0,0,1,1,0
17.41,3,37.0,0,3,13,3,5,1,2,5.8,1,1,17.41,37.0,1.0,0.0002,0,1,0,1,0,0,0,1,0
170.72,2,40.0,0,359,7,4,4,0,5,85.36,1,1,170.72,40.0,1.0,0.0001,0,0,1,0,0,1,0,0,1
292.37,1,38.0,0,179,14,4,2,0,3,292.37,1,1,292.37,38.0,1.0,0.0001,0,0,0,0,0,0,1,0,1
35.11,4,37.0,0,131,6,4,5,1,6,8.78,1,1,35.11,37.0,1.0,0.0001,0,0,1,1,0,0,0,0,0
319.62,2,35.0,0,256,12,3,3,0,21,159.81,1,1,319.62,35.0,1.0,0.0,0,0,1,0,1,0,0,0,0
65.38,3,33.0,0,208,21,2,1,0,13,21.79,1,1,65.38,33.0,1.0,0.0,1,0,0,0,0,0,0,0,1
195.39,4,27.0,0,151,15,4,5,1,6,48.85,1,1,195.39,27.0,1.0,0.0002,0,0,0,1,0,0,0,0,1
636.71375,4,38.0,0,98,0,3,2,0,27,159.18,1,1,636.71,38.0,1.0,0.0,0,0,0,0,0,0,1,0,1
113.97,4,26.0,0,223,5,3,2,0,20,28.49,1,1,113.97,26.0,1.0,0.0003,1,0,0,0,0,0,1,0,1
208.36,2,46.0,0,314,9,3,2,0,27,104.18,0,1,208.36,46.0,1.0,0.0002,0,0,1,0,0,1,0,0,0
